Вопрос,Ответ
Что такое Окколо?,Окколо - это свободное творческое пространство для молодых людей с инвалидностью и без.
Что такое инклюзия?,Инклюзия - это процесс включения человека в общественную жизнь.
Где расположен арт-кластер?,"Васильевский остров, улица Беринга, д. 5, офис 42-Н"
Что такое арт-кластер?,"Это объединение творческих людей для проведения встреч, знакомства, совместных кинопросмотр, мастер-классов и т.д."
Что такое перцепция?,"Перцепция  — способность человека воспринимать окружающий мир с помощью органов чувств, например различать цвета, чувствовать запахи и слышать звуки.   В психологии есть понятие социальной перцепции — процесса восприятия других людей. Например, когда работодатель во время 15-минутного собеседования составляет мнение о кандидате на основе его внешнего вида, мимики, жестов и рассказа о себе"
Что такое дактилология?,"Дактилология — своеобразная форма речи, воспроизводящая слова пальцами рук. Буквам алфавита соответствуют особые положения пальцев.   Дактилология используется как заменитель устной речи для общения слышащих с глухими, глухих между собой и как средство обучения глухих."
Что такое реабилитация?,"Реабилитация — это комплекс медицинских и социальных мероприятий, направленных на восстановление, поддержание и повышение функциональных возможностей людей, столкнувшихся с различными заболеваниями, травмами или хирургическими вмешательствами.   Цель реабилитации — вернуть пациенту максимально возможный уровень физической, психологической и социальной активности, а также улучшить его качество жизни."
Что такое абилитация?,"Абилитация — лечебные, педагогические, психологические или социальные мероприятия по отношению к инвалидам или морально подорванным людям, направленные на приспосабливание их к жизни в обществе, на приобретение возможности учиться и трудиться. В более широком смысле слова, абилитация — подготовка к какому-либо роду деятельности. Абилитация сосредоточена на развитии новых навыков и умений у детей с особенностями в развитии. Она направлена на помощь детям в усвоении навыков, которые могут быть сложными для них из-за их состояния."
Что значит особые потребности?,"Особые потребности — это термин, который используется в отношении лиц, чья социальная, физическая или эмоциональная особенность требует специального внимания и услуг. Также под особыми потребностями понимают людей, которые из-за определённых проблем, физических и психических расстройств не могут полностью участвовать в деятельности социальных институтов и получать положенную им поддержку без вмешательства профессионалов и других помощников."
Что значит социальная интеграция?,"Социальная интеграция - это создание возможностей для всех людей и решение проблемы глубоко укоренившегося системного неравенства. Интеграция - (от лат. Integer — целый)объединение экономических субъектов, углубление их взаимодействия, развитие связей между ними"
Что значит тьюторство?,"Тьюторство — это педагогическая технология сопровождения, позволяющая не только выявить познавательные интересы, но сопровожать их развитие, использовать их в процессе обучения."
